"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.263009,0.265571,0.242131,0.244517,8040620,263008982
"26-10-2018",0.268295,0.272928,0.260206,0.263458,7179510,268295079
"25-10-2018",0.274563,0.274563,0.260573,0.268946,10132000,274562895
"24-10-2018",0.251992,0.284747,0.250328,0.274514,18615200,251992404
"23-10-2018",0.270618,0.279068,0.24655,0.253173,21691900,270617604
"22-10-2018",0.262781,0.293587,0.254487,0.268415,27279700,262781173
"21-10-2018",0.240814,0.272214,0.235332,0.259686,18052500,240813687
"20-10-2018",0.235888,0.252458,0.230637,0.232617,16163600,235887542
"19-10-2018",0.209065,0.24266,0.205508,0.236023,20938800,209065497
"18-10-2018",0.214325,0.214325,0.201854,0.20898,7939570,214324594
"17-10-2018",0.187819,0.218429,0.186287,0.21365,26311900,187818721
"16-10-2018",0.182238,0.188539,0.179446,0.187831,4007950,182238296
"15-10-2018",0.172617,0.185334,0.169912,0.182082,5314640,172617435
"14-10-2018",0.177163,0.177813,0.171352,0.172347,3858440,177163348
"13-10-2018",0.179319,0.182871,0.174056,0.176788,3711450,179318935
"12-10-2018",0.162059,0.189153,0.157955,0.178842,11341600,162059382
"11-10-2018",0.180154,0.183611,0.155979,0.163987,8890810,180154115
"10-10-2018",0.179559,0.182635,0.172994,0.180738,5397420,179558769
"09-10-2018",0.178345,0.18065,0.176534,0.180125,2740720,178345069
"08-10-2018",0.176204,0.179294,0.174037,0.177897,2678130,176204428
"07-10-2018",0.174163,0.176486,0.170849,0.175539,2542700,174162820
"06-10-2018",0.180915,0.183911,0.170953,0.173689,3027690,180914670
"05-10-2018",0.171584,0.183375,0.171327,0.180872,5578560,171584323
"04-10-2018",0.165866,0.173776,0.165303,0.171474,2957670,165865615
"03-10-2018",0.170549,0.170549,0.163475,0.165743,2113960,170549050
"02-10-2018",0.171163,0.17694,0.170178,0.170755,3019370,171163261
"01-10-2018",0.170991,0.174089,0.168184,0.171407,2416960,170990556
"30-09-2018",0.168343,0.174285,0.167388,0.171174,1763310,168343201
"29-09-2018",0.169089,0.170781,0.162081,0.168362,2049280,169089004
"28-09-2018",0.174616,0.177301,0.164497,0.169157,3452890,174616024
"27-09-2018",0.164467,0.175715,0.160669,0.174372,3360290,164467156
"26-09-2018",0.164825,0.168264,0.15782,0.164532,3206750,164825499
"25-09-2018",0.164537,0.164537,0.151394,0.163104,5401860,164537057
"24-09-2018",0.175257,0.17636,0.163422,0.164372,2792720,175256878
"23-09-2018",0.175963,0.179143,0.172351,0.174988,2298730,175962940
"22-09-2018",0.180708,0.183656,0.165882,0.175627,4532980,180708289
"21-09-2018",0.163998,0.180865,0.161181,0.180503,5374870,163997993
"20-09-2018",0.150568,0.167792,0.150568,0.164783,4286500,150567666
"19-09-2018",0.147459,0.150627,0.140244,0.149901,1884250,147459373
"18-09-2018",0.144024,0.151955,0.141268,0.147439,3221640,144024149
"17-09-2018",0.157095,0.165751,0.140387,0.143804,3843190,157094732
"16-09-2018",0.164126,0.164126,0.154734,0.156902,3174010,164125890
"15-09-2018",0.154594,0.164887,0.153273,0.163966,2846890,154594094
"14-09-2018",0.165732,0.168578,0.150915,0.155595,4123730,165731803
"13-09-2018",0.147172,0.167417,0.146653,0.165979,4702990,147171736
"12-09-2018",0.148945,0.150436,0.131877,0.147355,4552830,148945346
"11-09-2018",0.151439,0.158099,0.143506,0.148573,3994940,151438579
"10-09-2018",0.156667,0.158095,0.147656,0.150842,3404930,156667486
"09-09-2018",0.159052,0.166779,0.151866,0.156566,3509260,159052253
"08-09-2018",0.173469,0.177427,0.155901,0.159016,4532720,173469469
"07-09-2018",0.183302,0.184636,0.173012,0.173267,4042110,183302492
"06-09-2018",0.182296,0.184939,0.170549,0.18368,4713820,182295680
"05-09-2018",0.230913,0.238454,0.182782,0.182782,5709710,230912536
"04-09-2018",0.228115,0.234189,0.226451,0.230995,3362240,228115186
"03-09-2018",0.23202,0.233489,0.226267,0.227876,3231210,232020378
"02-09-2018",0.227837,0.235492,0.224479,0.231729,3265550,227836639
"01-09-2018",0.218484,0.233571,0.218351,0.22762,3547030,218483776
"31-08-2018",0.215432,0.224123,0.212204,0.219598,5472150,215431705
"30-08-2018",0.224646,0.224944,0.206946,0.214951,6442380,224646375
"29-08-2018",0.233584,0.233584,0.218325,0.224581,5778130,233584136
"28-08-2018",0.223665,0.235569,0.223392,0.233496,6915810,223664880
"27-08-2018",0.209355,0.223174,0.207651,0.222886,5267600,209354848
"26-08-2018",0.212531,0.213719,0.203877,0.209004,3580910,212530851
"25-08-2018",0.21191,0.213543,0.206815,0.212531,3674530,211909562
"24-08-2018",0.21021,0.212225,0.203119,0.212044,4467600,210210472
"23-08-2018",0.196703,0.209283,0.195978,0.208373,4537010,196702674
"22-08-2018",0.21348,0.222663,0.192488,0.197232,3991730,213479787
"21-08-2018",0.194444,0.214122,0.193943,0.213577,3581670,194443867
"20-08-2018",0.221571,0.22745,0.195571,0.195632,2845590,221570686
"19-08-2018",0.207002,0.230433,0.20398,0.220856,3544910,207001850
"18-08-2018",0.227474,0.229182,0.197288,0.207043,3050410,227474451
"17-08-2018",0.196009,0.227613,0.195602,0.226234,3990710,196008623
"16-08-2018",0.187322,0.20542,0.183278,0.195571,3942520,187322244
"15-08-2018",0.19099,0.20745,0.186962,0.187562,4966500,190989658
"14-08-2018",0.186133,0.189508,0.156891,0.189508,5752430,186133459
"13-08-2018",0.211339,0.223696,0.188497,0.189499,4937120,211339161
"12-08-2018",0.219059,0.219739,0.208884,0.210934,2389040,219058648
"11-08-2018",0.222178,0.22815,0.19976,0.220584,6631450,222177684
"10-08-2018",0.24606,0.249049,0.214857,0.221822,3449610,246059969
"09-08-2018",0.22156,0.24967,0.219915,0.247197,3786690,221560240
"08-08-2018",0.266132,0.266132,0.214181,0.220825,7322500,266131550
"07-08-2018",0.269345,0.303835,0.262205,0.266232,8757630,269344568
"06-08-2018",0.254198,0.27167,0.254198,0.269721,3858700,254198313
"05-08-2018",0.250059,0.256164,0.246148,0.253875,2473480,250058979
"04-08-2018",0.265944,0.269345,0.246654,0.25001,2688850,265943646
"03-08-2018",0.263792,0.270912,0.249712,0.265448,3787420,263791859
"02-08-2018",0.284322,0.294096,0.263545,0.264922,3596410,284321696
"01-08-2018",0.276599,0.284299,0.266387,0.28347,3534260,276599377
"31-07-2018",0.302874,0.303096,0.275208,0.277121,3761580,302873611
"30-07-2018",0.315306,0.315306,0.290956,0.303662,3156580,315306008
"29-07-2018",0.324813,0.328429,0.313041,0.31498,3576790,324813024
"28-07-2018",0.324782,0.327851,0.320121,0.324551,3885050,324782016
"27-07-2018",0.305209,0.330788,0.299279,0.323411,9909830,305209024
"26-07-2018",0.331323,0.339007,0.298097,0.305004,6540910,331323008
"25-07-2018",0.346312,0.355447,0.31641,0.330599,16915400,346312000
"24-07-2018",0.348955,0.408742,0.339923,0.347735,41637900,348955008
"23-07-2018",0.327859,0.421837,0.32422,0.347729,90456200,327859008
"22-07-2018",0.327367,0.34901,0.323306,0.328241,6121070,327367008
"21-07-2018",0.316236,0.337788,0.3045,0.327968,6115640,316236000
"20-07-2018",0.339452,0.339738,0.302853,0.314767,7005660,339452000
"19-07-2018",0.356273,0.370842,0.337875,0.339379,7815340,356272992
"18-07-2018",0.360704,0.388373,0.355988,0.35653,13593500,360704000
"17-07-2018",0.355797,0.381162,0.349808,0.358688,15869500,355796992
"16-07-2018",0.319275,0.360976,0.317351,0.357229,9397190,319274976
"15-07-2018",0.31759,0.342343,0.308336,0.317168,8434180,317589984
"14-07-2018",0.334512,0.344397,0.307907,0.318159,15608800,334512000
"13-07-2018",0.269151,0.341148,0.265327,0.336022,16786200,269151008
"12-07-2018",0.268646,0.269675,0.251201,0.268327,4768230,268646016
"11-07-2018",0.243195,0.274181,0.24306,0.268652,4486670,243194992
"10-07-2018",0.262173,0.262556,0.238425,0.242928,2751840,262172992
"09-07-2018",0.274015,0.281356,0.264052,0.264901,2762680,274015008
"08-07-2018",0.269778,0.278685,0.264111,0.274485,2346660,269778016
"07-07-2018",0.264982,0.270212,0.254652,0.269085,3189520,264982016
"06-07-2018",0.241166,0.272392,0.236682,0.26234,4473600,241166000
"05-07-2018",0.250721,0.255783,0.236434,0.241339,2424400,250721008
"04-07-2018",0.249975,0.26014,0.245463,0.250188,2681310,249974992
"03-07-2018",0.271335,0.27617,0.245309,0.249576,3674380,271335008
"02-07-2018",0.258049,0.275968,0.249102,0.271738,3659320,258049008
"01-07-2018",0.24263,0.259303,0.23637,0.25742,2366250,242630000
"30-06-2018",0.218216,0.243749,0.218072,0.243023,2690800,218216000
"29-06-2018",0.204318,0.220344,0.198294,0.218404,2184470,204318000
"28-06-2018",0.22371,0.225225,0.204879,0.205587,1902540,223710096
